L|L|202102|FPE|12|21|1|100|0|100|0|100|0|0|0|0|0.0|0.0|0|0.0|0.0|100|0.0005|0|0.0|0.0
L|L|202102|GFED|12|21|2|400|100|300|0|300|0|0|0|0|0.0|-1.38|0|0.0|0.0246|300|0.0246|0|0.0|0.0
L|L|202102|GHC|12|21|15|1500|830|670|0|470|0|0|100|0|-0.306|0.9793|0|0.0|5.9325|534|5.9296|136|0.306|0.0029
L|L|202102|GLTO|12|21|6|700|274|426|0|426|0|0|0|0|0.0|-0.2067|0|0.0|0.2723|426|0.2723|0|0.0|0.0
L|L|202102|GLTO|12|22|2|2100|1072|1028|0|1028|0|0|0|0|0.0|-0.405|0|0.0|1.8073|1028|1.8073|0|0.0|0.0
L|L|202102|GXGXU|12|21|2|1000|-94|1094|0|694|0|0|0|0|0.0|-0.8267|0|0.0|31616.6447|1094|31616.6447|0|0.0|0.0
L|L|202102|HLG|12|21|13|2800|779|2021|0|1215|1|0|100|300|0.0764|0.9507|222|-0.0001|7065.1335|1316|7.8748|705|-0.0764|7057.2587
L|L|202102|HLG|12|22|5|3300|2291|1009|0|549|0|0|0|0|0.064|2.752|100|0.0016|156908.2766|649|987.9083|360|-0.064|155920.3683
L|L|202102|HMCOU|12|21|2|600|-90|690|0|690|0|0|0|0|0.0|-0.0467|0|0.0|1.7329|690|1.7329|0|0.0|0.0
L|L|202102|HMCOU|12|22|2|1000|316|684|0|684|0|0|0|0|0.0|-0.06|0|0.0|2.6515|684|2.6515|0|0.0|0.0
L|L|202102|HMCOU|12|23|3|10900|800|10100|0|10100|0|0|0|0|0.0|-0.1725|0|0.0|1.3038|10100|1.3038|0|0.0|0.0
L|L|202102|HSAQ|12|21|1|300|-5|305|0|200|0|0|0|0|0.15|0.305|0|0.0|1115.3212|200|0.872|105|-0.15|1114.4492
L|L|202102|HSAQ|12|22|10|7500|3389|4111|0|3436|0|0|80|0|0.145|0.458|595|0.0006|203904.5958|2560|1.1413|1551|-0.145|203903.4544
L|L|202102|IGIC|12|21|1|300|100|200|0|200|0|0|0|0|0.0|-0.48|0|0.0|2.3903|200|2.3903|0|0.0|0.0
L|L|202102|IO|12|21|1|100|0|100|0|100|0|0|0|0|0.0|-0.03|0|0.0|0.0727|100|0.0727|0|0.0|0.0
L|L|202102|ITACU|12|21|3|1200|779|421|0|401|0|0|20|0|0.04|0.09|20|0.002|57.9791|401|0.1399|20|-0.04|57.8393
L|L|202102|ITACU|12|22|2|2100|165|1935|0|1935|0|0|0|0|0.0|-0.28|0|0.0|1.522|1935|1.522|0|0.0|0.0
L|L|202102|IYW|12|23|1|2200|2177|23|0|0|0|0|0|0|2.07|4.77|23|0.09|948807.6184|0|0.0|23|-2.07|948807.6184
L|L|202102|JSM|12|22|1|1400|38|1362|0|1362|0|0|0|0|0.0|-0.56|0|0.0|1.4533|1362|1.4533|0|0.0|0.0
L|L|202102|JSM|12|23|1|3200|800|2400|0|2400|0|0|0|0|0.0|0.23|0|0.0|1.7884|2400|1.7884|0|0.0|0.0
L|L|202102|KSMTU|12|21|6|1100|-3900|5000|0|5000|0|0|0|0|-0.0022|0.0089|0|0.0|0.5107|2200|0.5107|2800|0.0022|0.0
L|L|202102|KSMTU|12|22|5|3300|1473|1827|0|1127|0|0|0|700|0.012|-0.194|627|-0.0|471.3513|500|0.0003|1327|-0.012|471.351
L|L|202102|KSMTU|12|23|7|25400|19900|5500|0|5000|0|0|200|300|0.0071|-0.1414|0|0.0|24.03|5200|24.03|300|-0.0071|115.0319
L|L|202102|KYMR|12|21|4|500|100|400|0|300|0|0|100|0|0.125|0.47|200|0.0013|65.1237|200|1.3613|200|-0.125|63.7625
L|L|202102|LIXTW|12|23|1|2200|2100|100|0|100|0|0|0|0|0.0|0.01|0|0.0|0.0001|100|0.0001|0|0.0|0.0
L|L|202102|LMBS|12|21|5|600|260|340|0|340|0|0|0|0|0.0|-0.004|0|0.0|0.0027|340|0.0093|0|0.0|0.0
L|L|202102|LRMR|12|21|1|200|105|95|0|95|0|0|0|0|0.0|0.77|0|0.0|0.0002|95|0.0002|0|0.0|0.0
